Item,Gender,Measure,Gamma,Delta,Probability
drinks beer,female,existence,0.637456281343475,2.842452109325677,0.015
drinks beer,female,existence,0.6581413983367383,2.842452109325677,0.0011999999999999988
drinks beer,female,existence,0.6078594101127237,2.842452109325677,0.0017999999999999993
drinks beer,female,existence,0.7625661485362798,2.842452109325677,0.0016
drinks beer,female,existence,0.7625661485362798,3.164393047336489,0.00019999999999999985
drinks beer,female,existence,0.5895965588279068,3.164393047336489,0.0008
drinks beer,female,existence,0.6892926034051925,3.164393047336489,0.0014000000000000006
drinks beer,female,existence,0.6892926034051925,3.2917864504270256,0.003799999999999998
drinks beer,female,existence,0.6025809810962528,3.2917864504270256,0.0024
drinks beer,female,existence,0.6025809810962528,3.3649030257947743,0.005199999999999997
drinks beer,female,existence,0.6025809810962528,3.2518004183657467,0.006399999999999995
drinks beer,female,existence,0.6180474644061178,3.2518004183657467,0.00019999999999999985
drinks beer,female,existence,0.6265533401165158,3.2518004183657467,0.00019999999999999985
drinks beer,female,existence,0.714152344269678,3.2518004183657467,0.0017999999999999993
drinks beer,female,existence,0.6962252771481872,3.2518004183657467,0.0005999999999999994
drinks beer,female,existence,0.5656843248289078,3.2518004183657467,0.0024
drinks beer,female,existence,0.75369435059838,3.2518004183657467,0.0017999999999999993
drinks beer,female,existence,0.6707637342624366,3.2518004183657467,0.0004
drinks beer,female,existence,0.6707637342624366,2.2760663647204638,0.005199999999999997
drinks beer,female,existence,0.616654873592779,2.2760663647204638,0.0005999999999999994
drinks beer,female,existence,0.6428216036874801,2.2760663647204638,0.0020000000000000013
drinks beer,female,existence,0.6655314972158521,2.2760663647204638,0.0106
drinks beer,female,existence,0.6316588877234608,2.2760663647204638,0.0028000000000000013
drinks beer,female,existence,0.6290230026934296,2.2760663647204638,0.0011999999999999988
drinks beer,female,existence,0.570273474091664,2.2760663647204638,0.0004
drinks beer,female,existence,0.5781048454809934,2.2760663647204638,0.0014000000000000006
drinks beer,female,existence,0.593816943699494,2.2760663647204638,0.0014000000000000006
drinks beer,female,existence,0.5917116962373257,2.2760663647204638,0.004600000000000001
drinks beer,female,existence,0.5761283356696367,2.2760663647204638,0.0035999999999999986
drinks beer,female,existence,0.5971923463512212,2.2760663647204638,0.008200000000000002
drinks beer,female,existence,0.6042323329020292,2.2760663647204638,0.0005999999999999994
