Item,Gender,Measure,Gamma,Delta,Probability
goes to the movies,female,existence,0.8648287202231586,3.36748220724985,0.0028000000000000013
goes to the movies,female,existence,0.8638224299065769,3.36748220724985,0.005000000000000001
goes to the movies,female,existence,0.8638224299065769,2.5764729594811797,0.004399999999999999
goes to the movies,female,existence,0.8638224299065769,2.3354820092208683,0.004399999999999999
goes to the movies,female,existence,0.8042889530770481,2.3354820092208683,0.005000000000000001
goes to the movies,female,existence,0.8752071517519653,2.3354820092208683,0.009000000000000001
goes to the movies,female,existence,0.8660899696405977,2.3354820092208683,0.00019999999999999985
goes to the movies,female,existence,0.8269578439649194,2.3354820092208683,0.0020000000000000013
goes to the movies,female,existence,0.8186501690652221,2.3354820092208683,0.0014000000000000006
goes to the movies,female,existence,0.8612483867909759,2.3354820092208683,0.003799999999999998
goes to the movies,female,existence,0.8492555569391698,2.3354820092208683,0.003799999999999998
goes to the movies,female,existence,0.8217980547342449,2.3354820092208683,0.0014000000000000006
goes to the movies,female,existence,0.8217980547342449,2.4199159583076835,0.007199999999999997
goes to the movies,female,existence,0.8224677597172558,2.4199159583076835,0.0032
goes to the movies,female,existence,0.817586230346933,2.4199159583076835,0.0024
goes to the movies,female,existence,0.8665979728102684,2.4199159583076835,0.0005999999999999994
goes to the movies,female,existence,0.8294162531383336,2.4199159583076835,0.0008
goes to the movies,female,existence,0.8433403032831848,2.4199159583076835,0.0004
goes to the movies,female,existence,0.8433403032831848,1.5752850798889995,0.006799999999999999
goes to the movies,female,existence,0.8348186130169779,1.5752850798889995,0.004600000000000001
goes to the movies,female,existence,0.8461278970353305,1.5752850798889995,0.0008
goes to the movies,female,existence,0.7664033032488078,1.5752850798889995,0.008399999999999994
goes to the movies,female,existence,0.7995980503037572,1.5752850798889995,0.004000000000000003
goes to the movies,female,existence,0.780594483949244,1.5752850798889995,0.0005999999999999994
goes to the movies,female,existence,0.780594483949244,1.6407000133767724,0.007599999999999996
goes to the movies,female,existence,0.7620283297728747,1.6407000133767724,0.0017999999999999993
goes to the movies,female,existence,0.7459814508911222,1.6407000133767724,0.0033999999999999994
goes to the movies,female,existence,0.7680729867424816,1.6407000133767724,0.0009999999999999996
goes to the movies,female,existence,0.758655812125653,1.6407000133767724,0.004199999999999997
goes to the movies,female,existence,0.8283471139147878,1.6407000133767724,0.019400000000000004
goes to the movies,female,existence,0.7513724204618484,1.6407000133767724,0.0011999999999999988
goes to the movies,female,existence,0.7482391269877553,1.6407000133767724,0.005400000000000001
goes to the movies,female,existence,0.8543599816039205,1.6407000133767724,0.0017999999999999993
goes to the movies,female,existence,0.7854803095106035,1.6407000133767724,0.0028000000000000013
goes to the movies,female,existence,0.7854803095106035,2.1029278519563377,0.0033999999999999994
goes to the movies,female,existence,0.9026073748245835,2.1029278519563377,0.0004
goes to the movies,female,existence,0.9026073748245835,4.699223954230547,0.005000000000000001
goes to the movies,female,existence,0.9026073748245835,2.3705141502432525,0.002999999999999998
goes to the movies,female,existence,0.9026073748245835,4.433806869201362,0.02439999999999999
goes to the movies,female,existence,0.9026073748245835,3.1967837596312165,0.0020000000000000013
goes to the movies,female,existence,0.8479410442523658,3.1967837596312165,0.0005999999999999994
goes to the movies,female,existence,0.9072238432709128,3.1967837596312165,0.0008
goes to the movies,female,existence,0.8849271594081074,3.1967837596312165,0.0024
goes to the movies,female,existence,0.8849271594081074,3.4708700026385486,0.0024
goes to the movies,female,existence,0.8780216942541301,3.4708700026385486,0.0021999999999999997
goes to the movies,female,existence,0.8780216942541301,2.715756220277399,0.006199999999999998
goes to the movies,female,existence,0.876275593880564,2.715756220277399,0.0011999999999999988
goes to the movies,female,existence,0.876275593880564,3.755290841218084,0.012400000000000007
goes to the movies,female,existence,0.8624088286887854,3.755290841218084,0.009399999999999999
goes to the movies,female,existence,0.8624088286887854,1.6837343224324286,0.002999999999999998
goes to the movies,female,existence,0.8624088286887854,2.641299378592521,0.008599999999999997
goes to the movies,female,existence,0.8759634983725846,2.641299378592521,0.0035999999999999986
goes to the movies,female,existence,0.8759634983725846,3.134339232929051,0.0011999999999999988
goes to the movies,female,existence,0.8759634983725846,3.75802437774837,0.0178
goes to the movies,female,existence,0.8759634983725846,3.5509093198925257,0.015799999999999995
goes to the movies,female,existence,0.8759634983725846,3.055074135772884,0.005400000000000001
goes to the movies,female,existence,0.8523310960736126,3.055074135772884,0.0020000000000000013
goes to the movies,female,existence,0.8314657066948712,3.055074135772884,0.0025999999999999986
goes to the movies,female,existence,0.8430511022452265,3.055074135772884,0.0032
goes to the movies,female,existence,0.8735534546431154,3.055074135772884,0.013999999999999997
goes to the movies,female,existence,0.880985856987536,3.055074135772884,0.00019999999999999985
goes to the movies,female,existence,0.880985856987536,1.519346924033016,0.00019999999999999985
goes to the movies,female,existence,0.7635530803818256,1.519346924033016,0.013599999999999998
goes to the movies,female,existence,0.833314562914893,1.519346924033016,0.0032
goes to the movies,female,existence,0.7629394410178065,1.519346924033016,0.005400000000000001
goes to the movies,female,existence,0.8309497139416635,1.519346924033016,0.0004
goes to the movies,female,existence,0.8309497139416635,3.444140695501119,0.0009999999999999996
goes to the movies,female,existence,0.8715163741726428,3.444140695501119,0.014799999999999992
goes to the movies,female,existence,0.879974088165909,3.444140695501119,0.01279999999999999
goes to the movies,female,existence,0.879974088165909,2.7650143834762275,0.00019999999999999985
goes to the movies,female,existence,0.879974088165909,4.458817362319678,0.0017999999999999993
goes to the movies,female,existence,0.879974088165909,4.659791907761246,0.0024
goes to the movies,female,existence,0.8962949353735894,4.659791907761246,0.0008
goes to the movies,female,existence,0.888245603768155,4.659791907761246,0.0035999999999999986
goes to the movies,female,existence,0.888245603768155,2.931394404731691,0.0178
goes to the movies,female,existence,0.8630221206694841,2.931394404731691,0.002999999999999998
goes to the movies,female,existence,0.8462261878885329,2.931394404731691,0.008200000000000002
goes to the movies,female,existence,0.8462261878885329,2.8948686900548637,0.0009999999999999996
goes to the movies,female,existence,0.8540081360843033,2.8948686900548637,0.009800000000000005
goes to the movies,female,existence,0.8663998213596642,2.8948686900548637,0.0024
goes to the movies,female,existence,0.8693861130159348,2.8948686900548637,0.0014000000000000006
goes to the movies,female,existence,0.8921299451030791,2.8948686900548637,0.006599999999999997
goes to the movies,female,existence,0.8901993872132152,2.8948686900548637,0.0014000000000000006
goes to the movies,female,existence,0.8901993872132152,4.0575635503046215,0.0009999999999999996
goes to the movies,female,existence,0.8901993872132152,3.323180542793125,0.0021999999999999997
goes to the movies,female,existence,0.8898567787837237,3.323180542793125,0.0014000000000000006
goes to the movies,female,existence,0.8898567787837237,3.3775556017644703,0.0004
goes to the movies,female,existence,0.8564498396590352,3.3775556017644703,0.0021999999999999997
goes to the movies,female,existence,0.8564498396590352,3.65520091727376,0.0021999999999999997
goes to the movies,female,existence,0.8564498396590352,1.819549675565213,0.0008
goes to the movies,female,existence,0.8564498396590352,3.115027805324644,0.0021999999999999997
goes to the movies,female,existence,0.8564498396590352,1.8142240936867893,0.0021999999999999997
goes to the movies,female,existence,0.8564498396590352,2.880859130527824,0.008399999999999994
goes to the movies,female,existence,0.8564498396590352,2.8716627741232514,0.018999999999999996
goes to the movies,female,existence,0.8564498396590352,3.3584844204597175,0.0035999999999999986
goes to the movies,female,existence,0.8609914903063327,3.3584844204597175,0.0056000000000000025
goes to the movies,female,existence,0.8609914903063327,3.1940964749082923,0.0028000000000000013
goes to the movies,female,existence,0.8543654859531671,3.1940964749082923,0.0008
goes to the movies,female,existence,0.8923791735433042,3.1940964749082923,0.010200000000000006
goes to the movies,female,existence,0.8643103388603777,3.1940964749082923,0.008599999999999997
goes to the movies,female,existence,0.8707288333680481,3.1940964749082923,0.0021999999999999997
