Item,Gender,Measure,Gamma,Delta,Probability
listens to live music,female,existence,0.6967684535775334,2.0317123155109584,0.0033999999999999994
listens to live music,female,existence,0.6938615755643696,2.0317123155109584,0.0014000000000000006
listens to live music,female,existence,0.7232065279968083,2.0317123155109584,0.0028000000000000013
listens to live music,female,existence,0.761849524686113,2.0317123155109584,0.0032
listens to live music,female,existence,0.6525876615196466,2.0317123155109584,0.0056000000000000025
listens to live music,female,existence,0.6831378911156207,2.0317123155109584,0.005400000000000001
listens to live music,female,existence,0.6875770115293562,2.0317123155109584,0.004199999999999997
listens to live music,female,existence,0.6731865187175572,2.0317123155109584,0.0014000000000000006
listens to live music,female,existence,0.6731865187175572,3.6989335785619915,0.0028000000000000013
listens to live music,female,existence,0.7226022216491401,3.6989335785619915,0.0021999999999999997
listens to live music,female,existence,0.70112698036246,3.6989335785619915,0.0020000000000000013
listens to live music,female,existence,0.70112698036246,1.8299193237908185,0.004399999999999999
listens to live music,female,existence,0.70112698036246,3.002647846005857,0.0020000000000000013
listens to live music,female,existence,0.7426784564740956,3.002647846005857,0.0009999999999999996
listens to live music,female,existence,0.7001489368267357,3.002647846005857,0.0028000000000000013
listens to live music,female,existence,0.6638539037667215,3.002647846005857,0.005799999999999999
listens to live music,female,existence,0.7235524768475443,3.002647846005857,0.0014000000000000006
listens to live music,female,existence,0.7545231536496431,3.002647846005857,0.002999999999999998
listens to live music,female,existence,0.7202083552256227,3.002647846005857,0.0004
listens to live music,female,existence,0.7713907931465656,3.002647846005857,0.0025999999999999986
listens to live music,female,existence,0.7717524252366275,3.002647846005857,0.0016
listens to live music,female,existence,0.6192157717887312,3.002647846005857,0.0014000000000000006
listens to live music,female,existence,0.7669078134931624,3.002647846005857,0.0016
listens to live music,female,existence,0.760711656883359,3.002647846005857,0.008599999999999997
listens to live music,female,existence,0.6501518825534731,3.002647846005857,0.0004
listens to live music,female,existence,0.6501518825534731,1.682644640095532,0.0004
listens to live music,female,existence,0.6501518825534731,2.62307581724599,0.0025999999999999986
listens to live music,female,existence,0.7455376060679555,2.62307581724599,0.0009999999999999996
listens to live music,female,existence,0.6631836434826255,2.62307581724599,0.0005999999999999994
listens to live music,female,existence,0.6675707148388028,2.62307581724599,0.0025999999999999986
listens to live music,female,existence,0.6843925775028765,2.62307581724599,0.0011999999999999988
listens to live music,female,existence,0.6924617337062955,2.62307581724599,0.0028000000000000013
listens to live music,female,existence,0.6924617337062955,2.560928522143513,0.0024
listens to live music,female,existence,0.618756893556565,2.560928522143513,0.002999999999999998
listens to live music,female,existence,0.7495773280970752,2.560928522143513,0.002999999999999998
listens to live music,female,existence,0.7229853817261755,2.560928522143513,0.0016
listens to live music,female,existence,0.7226833247113973,2.560928522143513,0.0048
listens to live music,female,existence,0.6851857099682093,2.560928522143513,0.0004
listens to live music,female,existence,0.6908481628634036,2.560928522143513,0.006199999999999998
listens to live music,female,existence,0.7387820885051042,2.560928522143513,0.0014000000000000006
listens to live music,female,existence,0.7476528191473335,2.560928522143513,0.003799999999999998
listens to live music,female,existence,0.6805892423726618,2.560928522143513,0.0009999999999999996
listens to live music,female,existence,0.6802194975316525,2.560928522143513,0.0024
listens to live music,female,existence,0.7063145879656076,2.560928522143513,0.011599999999999997
listens to live music,female,existence,0.6941130836494267,2.560928522143513,0.0033999999999999994
listens to live music,female,existence,0.6797066829167306,2.560928522143513,0.004600000000000001
listens to live music,female,existence,0.6797066829167306,2.262797288130969,0.008599999999999997
listens to live music,female,existence,0.6708244848996401,2.262797288130969,0.0024
listens to live music,female,existence,0.6699459832161665,2.262797288130969,0.00019999999999999985
listens to live music,female,existence,0.6699459832161665,2.416239504236728,0.003799999999999998
listens to live music,female,existence,0.6800174757372588,2.416239504236728,0.0016
listens to live music,female,existence,0.7043758316431195,2.416239504236728,0.004199999999999997
listens to live music,female,existence,0.6467230452690274,2.416239504236728,0.0014000000000000006
listens to live music,female,existence,0.7647271519526839,2.416239504236728,0.0004
listens to live music,female,existence,0.6261568032205105,2.416239504236728,0.0020000000000000013
listens to live music,female,existence,0.7565721701830626,2.416239504236728,0.0024
listens to live music,female,existence,0.6313185314647853,2.416239504236728,0.0035999999999999986
listens to live music,female,existence,0.7448904840275645,2.416239504236728,0.00019999999999999985
listens to live music,female,existence,0.6824920983053744,2.416239504236728,0.010000000000000002
listens to live music,female,existence,0.6634906374383718,2.416239504236728,0.0035999999999999986
listens to live music,female,existence,0.7018939610570669,2.416239504236728,0.006199999999999998
listens to live music,female,existence,0.7055539758875966,2.416239504236728,0.0005999999999999994
listens to live music,female,existence,0.6901155717205256,2.416239504236728,0.0032
listens to live music,female,existence,0.6491062801796943,2.416239504236728,0.0009999999999999996
listens to live music,female,existence,0.6820927681401372,2.416239504236728,0.007999999999999997
listens to live music,female,existence,0.7053073500283062,2.416239504236728,0.004600000000000001
listens to live music,female,existence,0.714913307223469,2.416239504236728,0.007599999999999996
listens to live music,female,existence,0.7077041433658451,2.416239504236728,0.0017999999999999993
listens to live music,female,existence,0.7077041433658451,2.9270830913446844,0.0028000000000000013
listens to live music,female,existence,0.7088173078373075,2.9270830913446844,0.00019999999999999985
listens to live music,female,existence,0.7088173078373075,3.6273214500397444,0.008599999999999997
listens to live music,female,existence,0.6923030936159194,3.6273214500397444,0.0005999999999999994
listens to live music,female,existence,0.6923030936159194,2.633559564128518,0.0008
listens to live music,female,existence,0.6255316585302353,2.633559564128518,0.0014000000000000006
listens to live music,female,existence,0.7006048040930182,2.633559564128518,0.0005999999999999994
listens to live music,female,existence,0.7430426755454391,2.633559564128518,0.0011999999999999988
listens to live music,female,existence,0.7018306581303477,2.633559564128518,0.0009999999999999996
listens to live music,female,existence,0.7166244878899306,2.633559564128518,0.0028000000000000013
listens to live music,female,existence,0.7166244878899306,2.0885793259367347,0.005999999999999996
listens to live music,female,existence,0.6658411498647183,2.0885793259367347,0.009000000000000001
listens to live music,female,existence,0.6860149030108005,2.0885793259367347,0.0025999999999999986
listens to live music,female,existence,0.6413913790602237,2.0885793259367347,0.0011999999999999988
listens to live music,female,existence,0.6200830701272935,2.0885793259367347,0.004600000000000001
listens to live music,female,existence,0.7037314500194043,2.0885793259367347,0.0106
listens to live music,female,existence,0.7039782472420484,2.0885793259367347,0.0004
listens to live music,female,existence,0.7039782472420484,3.0392600456252694,0.0025999999999999986
listens to live music,female,existence,0.7017244070302695,3.0392600456252694,0.0024
listens to live music,female,existence,0.7017244070302695,2.872485399711877,0.0004
listens to live music,female,existence,0.6594181235413998,2.872485399711877,0.011000000000000003
listens to live music,female,existence,0.7407808552961797,2.872485399711877,0.0025999999999999986
listens to live music,female,existence,0.7159764470998198,2.872485399711877,0.002999999999999998
listens to live music,female,existence,0.7553633861243725,2.872485399711877,0.0017999999999999993
listens to live music,female,existence,0.7696739214006811,2.872485399711877,0.005000000000000001
listens to live music,female,existence,0.719397883862257,2.872485399711877,0.0020000000000000013
listens to live music,female,existence,0.7141805842984468,2.872485399711877,0.0011999999999999988
listens to live music,female,existence,0.7374926588963717,2.872485399711877,0.0011999999999999988
listens to live music,female,existence,0.7374926588963717,3.2010685768909752,0.0009999999999999996
listens to live music,female,existence,0.6972932156641036,3.2010685768909752,0.0028000000000000013
listens to live music,female,existence,0.6997376685030758,3.2010685768909752,0.015400000000000002
listens to live music,female,existence,0.7646322806831449,3.2010685768909752,0.0011999999999999988
listens to live music,female,existence,0.7646322806831449,3.0241561704315245,0.0004
listens to live music,female,existence,0.624137194128707,3.0241561704315245,0.0024
listens to live music,female,existence,0.7240031978581101,3.0241561704315245,0.0005999999999999994
listens to live music,female,existence,0.6900720505509526,3.0241561704315245,0.0025999999999999986
listens to live music,female,existence,0.7057924240361899,3.0241561704315245,0.0009999999999999996
listens to live music,female,existence,0.7057924240361899,2.8282642597332597,0.0005999999999999994
listens to live music,female,existence,0.721143594244495,2.8282642597332597,0.0017999999999999993
listens to live music,female,existence,0.721143594244495,1.6442011226899922,0.0021999999999999997
listens to live music,female,existence,0.721143594244495,2.235296694561839,0.0004
listens to live music,female,existence,0.7334561538882554,2.235296694561839,0.005799999999999999
listens to live music,female,existence,0.7334561538882554,2.0825917250476778,0.0014000000000000006
listens to live music,female,existence,0.5937474258244038,2.0825917250476778,0.0004
listens to live music,female,existence,0.6009706470649689,2.0825917250476778,0.0020000000000000013
listens to live music,female,existence,0.6663969301152974,2.0825917250476778,0.011999999999999992
listens to live music,female,existence,0.66292584547773,2.0825917250476778,0.0021999999999999997
listens to live music,female,existence,0.7151254063937813,2.0825917250476778,0.0048
listens to live music,female,existence,0.7151254063937813,2.9438018798828125,0.004199999999999997
listens to live music,female,existence,0.6839231292251498,2.9438018798828125,0.005999999999999996
listens to live music,female,existence,0.7261271697934717,2.9438018798828125,0.0011999999999999988
listens to live music,female,existence,0.6641243114136159,2.9438018798828125,0.0035999999999999986
listens to live music,female,existence,0.687560067512095,2.9438018798828125,0.006599999999999997
listens to live music,female,existence,0.6906944329384714,2.9438018798828125,0.0035999999999999986
listens to live music,female,existence,0.6906944329384714,2.873486001044512,0.005199999999999997
listens to live music,female,existence,0.6978903957642615,2.873486001044512,0.003799999999999998
listens to live music,female,existence,0.7023079770151526,2.873486001044512,0.0005999999999999994
listens to live music,female,existence,0.7023079770151526,1.877259078901261,0.004000000000000003
listens to live music,female,existence,0.684112288756296,1.877259078901261,0.006999999999999998
listens to live music,female,existence,0.6834087942261249,1.877259078901261,0.011199999999999995
listens to live music,female,existence,0.7443722023162991,1.877259078901261,0.004399999999999999
listens to live music,female,existence,0.6842798683792353,1.877259078901261,0.0035999999999999986
listens to live music,female,existence,0.6734950526151806,1.877259078901261,0.005199999999999997
listens to live music,female,existence,0.6534060332924128,1.877259078901261,0.0014000000000000006
listens to live music,female,existence,0.6534060332924128,1.6612540115602314,0.0004
listens to live music,female,existence,0.6534060332924128,3.150771150831133,0.0032
listens to live music,female,existence,0.782812456600368,3.150771150831133,0.0004
listens to live music,female,existence,0.7250023735687137,3.150771150831133,0.006999999999999998
listens to live music,female,existence,0.7250023735687137,2.7204730664379895,0.0005999999999999994
listens to live music,female,existence,0.7464987842831761,2.7204730664379895,0.0004
listens to live music,female,existence,0.7464987842831761,3.7906089914031327,0.0028000000000000013
listens to live music,female,existence,0.7665802666451782,3.7906089914031327,0.0020000000000000013
listens to live music,female,existence,0.7249347507022321,3.7906089914031327,0.010000000000000002
listens to live music,female,existence,0.6668950316961855,3.7906089914031327,0.0004
listens to live music,female,existence,0.787205399479717,3.7906089914031327,0.0004
listens to live music,female,existence,0.7263501081615686,3.7906089914031327,0.00019999999999999985
listens to live music,female,existence,0.6691699477378279,3.7906089914031327,0.010399999999999994
listens to live music,female,existence,0.7366876201704144,3.7906089914031327,0.0005999999999999994
listens to live music,female,existence,0.7449790555983782,3.7906089914031327,0.0009999999999999996
listens to live music,female,existence,0.7449790555983782,1.8854375462979078,0.0005999999999999994
listens to live music,female,existence,0.7286508872639388,1.8854375462979078,0.0011999999999999988
listens to live music,female,existence,0.6784951870795339,1.8854375462979078,0.002999999999999998
listens to live music,female,existence,0.6685726083815098,1.8854375462979078,0.004399999999999999
listens to live music,female,existence,0.6739639870356768,1.8854375462979078,0.0021999999999999997
listens to live music,female,existence,0.620810586027801,1.8854375462979078,0.00019999999999999985
listens to live music,female,existence,0.7260235324501991,1.8854375462979078,0.0005999999999999994
listens to live music,female,existence,0.6629461282864213,1.8854375462979078,0.0025999999999999986
listens to live music,female,existence,0.6629461282864213,3.2249635900370777,0.005000000000000001
listens to live music,female,existence,0.6629461282864213,2.877773973159492,0.0014000000000000006
listens to live music,female,existence,0.7039078739471734,2.877773973159492,0.0009999999999999996
listens to live music,female,existence,0.7039078739471734,2.5501729804091156,0.0017999999999999993
listens to live music,female,existence,0.7424365086480975,2.5501729804091156,0.00019999999999999985
listens to live music,female,existence,0.7424365086480975,3.3703419263474643,0.0005999999999999994
listens to live music,female,existence,0.7871938443277031,3.3703419263474643,0.0014000000000000006
listens to live music,female,existence,0.7871938443277031,2.649994019884616,0.00019999999999999985
listens to live music,female,existence,0.69133196095936,2.649994019884616,0.006199999999999998
listens to live music,female,existence,0.6968013322912157,2.649994019884616,0.0008
listens to live music,female,existence,0.7229530019685626,2.649994019884616,0.0020000000000000013
listens to live music,female,existence,0.6710774346720427,2.649994019884616,0.00019999999999999985
listens to live music,female,existence,0.6710774346720427,2.468774188309908,0.0025999999999999986
listens to live music,female,existence,0.7514320171903819,2.468774188309908,0.0025999999999999986
listens to live music,female,existence,0.767024569446221,2.468774188309908,0.0028000000000000013
listens to live music,female,existence,0.7135374033823609,2.468774188309908,0.0005999999999999994
listens to live music,female,existence,0.6766234033275396,2.468774188309908,0.004000000000000003
listens to live music,female,existence,0.6637415883596987,2.468774188309908,0.00019999999999999985
listens to live music,female,existence,0.7260096855461597,2.468774188309908,0.0020000000000000013
listens to live music,female,existence,0.7225900809280574,2.468774188309908,0.014199999999999994
listens to live music,female,existence,0.7115207640454173,2.468774188309908,0.0056000000000000025
listens to live music,female,existence,0.700542040169239,2.468774188309908,0.0017999999999999993
listens to live music,female,existence,0.6604295512661338,2.468774188309908,0.0005999999999999994
listens to live music,female,existence,0.6930798338726163,2.468774188309908,0.0004
listens to live music,female,existence,0.7184834503568709,2.468774188309908,0.005799999999999999
listens to live music,female,existence,0.7357836130540818,2.468774188309908,0.0016
listens to live music,female,existence,0.7033304641954601,2.468774188309908,0.00019999999999999985
