Item,Gender,Measure,Gamma,Delta,Probability
listens to Pandora,male,existence,0.3513905885629356,2.042208332568407,0.0009999999999999996
listens to Pandora,male,existence,0.3513905885629356,3.5020553274080157,0.0004
listens to Pandora,male,existence,0.42409616662189364,3.5020553274080157,0.0048
listens to Pandora,male,existence,0.3684078170917928,3.5020553274080157,0.0005999999999999994
listens to Pandora,male,existence,0.40424920548684895,3.5020553274080157,0.006199999999999998
listens to Pandora,male,existence,0.48558679153211415,3.5020553274080157,0.0020000000000000013
listens to Pandora,male,existence,0.48558679153211415,1.9714522757567465,0.0056000000000000025
listens to Pandora,male,existence,0.4291706536896527,1.9714522757567465,0.0032
listens to Pandora,male,existence,0.4457529380451888,1.9714522757567465,0.0048
listens to Pandora,male,existence,0.45573034416884184,1.9714522757567465,0.004000000000000003
listens to Pandora,male,existence,0.42463157954625785,1.9714522757567465,0.0096
listens to Pandora,male,existence,0.4084194384049624,1.9714522757567465,0.0020000000000000013
listens to Pandora,male,existence,0.4084194384049624,2.3896632133983076,0.0056000000000000025
listens to Pandora,male,existence,0.3950214877258986,2.3896632133983076,0.014599999999999995
listens to Pandora,male,existence,0.3719420072156936,2.3896632133983076,0.0021999999999999997
listens to Pandora,male,existence,0.3852799916639924,2.3896632133983076,0.0021999999999999997
listens to Pandora,male,existence,0.47617605817504227,2.3896632133983076,0.0032
listens to Pandora,male,existence,0.4328528279438615,2.3896632133983076,0.004000000000000003
listens to Pandora,male,existence,0.36863280087709427,2.3896632133983076,0.0025999999999999986
listens to Pandora,male,existence,0.5360096422955394,2.3896632133983076,0.0008
listens to Pandora,male,existence,0.4550126704853028,2.3896632133983076,0.0005999999999999994
listens to Pandora,male,existence,0.4646253790706396,2.3896632133983076,0.006599999999999997
listens to Pandora,male,existence,0.3642434619832784,2.3896632133983076,0.0014000000000000006
listens to Pandora,male,existence,0.40477462066337466,2.3896632133983076,0.0008
listens to Pandora,male,existence,0.4097095848992467,2.3896632133983076,0.0008
listens to Pandora,male,existence,0.4097095848992467,2.7240701485425234,0.0014000000000000006
listens to Pandora,male,existence,0.398735414724797,2.7240701485425234,0.005400000000000001
listens to Pandora,male,existence,0.3966140481643379,2.7240701485425234,0.0017999999999999993
listens to Pandora,male,existence,0.41793375951237977,2.7240701485425234,0.0025999999999999986
listens to Pandora,male,existence,0.47094412171281874,2.7240701485425234,0.0004
listens to Pandora,male,existence,0.3349533409345895,2.7240701485425234,0.0005999999999999994
listens to Pandora,male,existence,0.40900492831133306,2.7240701485425234,0.006399999999999995
listens to Pandora,male,existence,0.40900492831133306,1.781269593629986,0.003799999999999998
listens to Pandora,male,existence,0.45155945187434554,1.781269593629986,0.004199999999999997
listens to Pandora,male,existence,0.43194556259550154,1.781269593629986,0.013599999999999998
listens to Pandora,male,existence,0.3553133332170546,1.781269593629986,0.0004
listens to Pandora,male,existence,0.35195374791510403,1.781269593629986,0.005999999999999996
listens to Pandora,male,existence,0.36401136009953916,1.781269593629986,0.008599999999999997
listens to Pandora,male,existence,0.39157580374740064,1.781269593629986,0.0014000000000000006
listens to Pandora,male,existence,0.40901856031268835,1.781269593629986,0.0021999999999999997
listens to Pandora,male,existence,0.471012641210109,1.781269593629986,0.005400000000000001
listens to Pandora,male,existence,0.4201317254919559,1.781269593629986,0.0032
listens to Pandora,male,existence,0.4201317254919559,2.683344285469502,0.007800000000000002
