Item,Gender,Measure,Gamma,Delta,Probability
volunteers for political campaigns,male,existence,0.09372507059015334,7.016294321510941,0.0004
volunteers for political campaigns,male,existence,0.07040272024460137,7.016294321510941,0.00019999999999999985
volunteers for political campaigns,male,existence,0.07040272024460137,7.003860268741846,0.004000000000000003
volunteers for political campaigns,male,existence,0.07040272024460137,8.117029012646526,0.014199999999999994
volunteers for political campaigns,male,existence,0.09242863394320011,8.117029012646526,0.0032
volunteers for political campaigns,male,existence,0.09199933265335858,8.117029012646526,0.0014000000000000006
volunteers for political campaigns,male,existence,0.09199933265335858,4.760654689744115,0.005000000000000001
volunteers for political campaigns,male,existence,0.10073902201838791,4.760654689744115,0.0005999999999999994
volunteers for political campaigns,male,existence,0.08826294052414596,4.760654689744115,0.00019999999999999985
volunteers for political campaigns,male,existence,0.08826294052414596,6.559470004867762,0.0021999999999999997
volunteers for political campaigns,male,existence,0.08826294052414596,4.684151068795472,0.0009999999999999996
volunteers for political campaigns,male,existence,0.1321906722150743,4.684151068795472,0.006399999999999995
volunteers for political campaigns,male,existence,0.12045857636258006,4.684151068795472,0.0016
volunteers for political campaigns,male,existence,0.117025185842067,4.684151068795472,0.0025999999999999986
volunteers for political campaigns,male,existence,0.117025185842067,5.364084197208285,0.0021999999999999997
volunteers for political campaigns,male,existence,0.07860426185652614,5.364084197208285,0.0009999999999999996
volunteers for political campaigns,male,existence,0.07860426185652614,5.420309619512409,0.0016
volunteers for political campaigns,male,existence,0.09082180052064359,5.420309619512409,0.013399999999999994
volunteers for political campaigns,male,existence,0.09082180052064359,4.904688359238207,0.0009999999999999996
volunteers for political campaigns,male,existence,0.09082180052064359,7.951399916782975,0.00019999999999999985
volunteers for political campaigns,male,existence,0.09082180052064359,6.248512933962047,0.009399999999999999
volunteers for political campaigns,male,existence,0.0889573076274246,6.248512933962047,0.005999999999999996
volunteers for political campaigns,male,existence,0.0889573076274246,7.603505626320839,0.004199999999999997
volunteers for political campaigns,male,existence,0.0889573076274246,6.182821362745017,0.002999999999999998
volunteers for political campaigns,male,existence,0.10682844673283398,6.182821362745017,0.003799999999999998
volunteers for political campaigns,male,existence,0.10682844673283398,5.910372792277485,0.013999999999999997
volunteers for political campaigns,male,existence,0.09009576542302966,5.910372792277485,0.0025999999999999986
volunteers for political campaigns,male,existence,0.09009576542302966,7.493511948268861,0.0014000000000000006
volunteers for political campaigns,male,existence,0.09009576542302966,5.7008189731277525,0.006399999999999995
volunteers for political campaigns,male,existence,0.09009576542302966,7.230246241670102,0.002999999999999998
volunteers for political campaigns,male,existence,0.07524321624077857,7.230246241670102,0.0011999999999999988
volunteers for political campaigns,male,existence,0.07524321624077857,6.776643847115338,0.0011999999999999988
volunteers for political campaigns,male,existence,0.08210792974568903,6.776643847115338,0.012999999999999998
volunteers for political campaigns,male,existence,0.08210792974568903,5.929944303352386,0.007800000000000002
volunteers for political campaigns,male,existence,0.08210792974568903,7.72521587787196,0.0008
volunteers for political campaigns,male,existence,0.08407368953339756,7.72521587787196,0.005000000000000001
volunteers for political campaigns,male,existence,0.08407368953339756,8.323466230649501,0.004399999999999999
volunteers for political campaigns,male,existence,0.06395305600017309,8.323466230649501,0.0005999999999999994
