Item,Gender,Measure,Gamma,Delta,Probability
wears a watch,male,existence,0.7922398708760738,1.7353604664094746,0.0014000000000000006
wears a watch,male,existence,0.6380068098660558,1.7353604664094746,0.004399999999999999
wears a watch,male,existence,0.7487945903558284,1.7353604664094746,0.005799999999999999
wears a watch,male,existence,0.7386478497646749,1.7353604664094746,0.005799999999999999
wears a watch,male,existence,0.7890890608541667,1.7353604664094746,0.0017999999999999993
wears a watch,male,existence,0.7392779865767807,1.7353604664094746,0.0033999999999999994
wears a watch,male,existence,0.7001494427677244,1.7353604664094746,0.0025999999999999986
wears a watch,male,existence,0.7001494427677244,1.5308261848986149,0.0035999999999999986
wears a watch,male,existence,0.6951224601361901,1.5308261848986149,0.0032
wears a watch,male,existence,0.7449115470517427,1.5308261848986149,0.0005999999999999994
wears a watch,male,existence,0.655317907454446,1.5308261848986149,0.0016
wears a watch,male,existence,0.7329379334114492,1.5308261848986149,0.005999999999999996
wears a watch,male,existence,0.721047654747963,1.5308261848986149,0.0048
wears a watch,male,existence,0.6544726809952408,1.5308261848986149,0.0008
wears a watch,male,existence,0.7870235065929592,1.5308261848986149,0.0033999999999999994
wears a watch,male,existence,0.679069812875241,1.5308261848986149,0.0016
wears a watch,male,existence,0.6921015693806112,1.5308261848986149,0.0008
wears a watch,male,existence,0.7654098027851433,1.5308261848986149,0.005799999999999999
wears a watch,male,existence,0.6995204512495548,1.5308261848986149,0.006799999999999999
wears a watch,male,existence,0.7356283462140709,1.5308261848986149,0.0014000000000000006
wears a watch,male,existence,0.7293940973468125,1.5308261848986149,0.004600000000000001
wears a watch,male,existence,0.7599183793645352,1.5308261848986149,0.0017999999999999993
wears a watch,male,existence,0.7599183793645352,2.3979121120646596,0.004399999999999999
wears a watch,male,existence,0.7348255501128733,2.3979121120646596,0.0017999999999999993
wears a watch,male,existence,0.8019493122119457,2.3979121120646596,0.006199999999999998
wears a watch,male,existence,0.8057846680749208,2.3979121120646596,0.0017999999999999993
wears a watch,male,existence,0.8106356377247721,2.3979121120646596,0.0024
wears a watch,male,existence,0.7872328150551766,2.3979121120646596,0.0014000000000000006
wears a watch,male,existence,0.7192507013678551,2.3979121120646596,0.006799999999999999
wears a watch,male,existence,0.7401811061426997,2.3979121120646596,0.0008
wears a watch,male,existence,0.7401811061426997,1.377429673448205,0.0025999999999999986
wears a watch,male,existence,0.712795517873019,1.377429673448205,0.004399999999999999
wears a watch,male,existence,0.6739283732604235,1.377429673448205,0.0021999999999999997
wears a watch,male,existence,0.6928312149830163,1.377429673448205,0.0009999999999999996
wears a watch,male,existence,0.671783079393208,1.377429673448205,0.0021999999999999997
wears a watch,male,existence,0.7072752667590976,1.377429673448205,0.0009999999999999996
wears a watch,male,existence,0.7072752667590976,1.5617829165421426,0.003799999999999998
wears a watch,male,existence,0.6765207618009299,1.5617829165421426,0.00019999999999999985
wears a watch,male,existence,0.6622343356721103,1.5617829165421426,0.0005999999999999994
wears a watch,male,existence,0.7407591922674328,1.5617829165421426,0.0014000000000000006
wears a watch,male,existence,0.7022966595832258,1.5617829165421426,0.012599999999999997
wears a watch,male,existence,0.7324888368602842,1.5617829165421426,0.012400000000000007
wears a watch,male,existence,0.6966186568606645,1.5617829165421426,0.0014000000000000006
