Item,Gender,Measure,Mu,Sigma,Probability
smokes cigarettes,male,log_ntimes,7.118059953209013,2.2658315720036626,0.0020000000000000013
smokes cigarettes,male,log_ntimes,8.256356788333505,2.2658315720036626,0.0014000000000000006
smokes cigarettes,male,log_ntimes,6.643401300534606,2.2658315720036626,0.0014000000000000006
smokes cigarettes,male,log_ntimes,8.252898619975895,2.2658315720036626,0.0008
smokes cigarettes,male,log_ntimes,8.252898619975895,2.551875424105674,0.0005999999999999994
smokes cigarettes,male,log_ntimes,8.252898619975895,1.7998175090178847,0.00019999999999999985
smokes cigarettes,male,log_ntimes,6.696984774898738,1.7998175090178847,0.0028000000000000013
smokes cigarettes,male,log_ntimes,6.696984774898738,2.0185605506412685,0.0048
smokes cigarettes,male,log_ntimes,6.975690929684788,2.0185605506412685,0.0017999999999999993
smokes cigarettes,male,log_ntimes,7.987958956509829,2.0185605506412685,0.0009999999999999996
smokes cigarettes,male,log_ntimes,7.703836166765541,2.0185605506412685,0.0014000000000000006
smokes cigarettes,male,log_ntimes,7.59006927954033,2.0185605506412685,0.0020000000000000013
smokes cigarettes,male,log_ntimes,7.3167912708595395,2.0185605506412685,0.0024
smokes cigarettes,male,log_ntimes,7.904708988498896,2.0185605506412685,0.0008
smokes cigarettes,male,log_ntimes,7.904708988498896,2.0058869593776762,0.0008
smokes cigarettes,male,log_ntimes,7.522111381404102,2.0058869593776762,0.0004
smokes cigarettes,male,log_ntimes,7.522111381404102,2.045154345687479,0.004399999999999999
smokes cigarettes,male,log_ntimes,7.522111381404102,1.7974732303991914,0.0005999999999999994
smokes cigarettes,male,log_ntimes,7.522111381404102,1.831450101453811,0.0020000000000000013
smokes cigarettes,male,log_ntimes,7.180393943563104,1.831450101453811,0.008599999999999997
smokes cigarettes,male,log_ntimes,7.279504595790058,1.831450101453811,0.009399999999999999
smokes cigarettes,male,log_ntimes,7.406150493770838,1.831450101453811,0.0025999999999999986
smokes cigarettes,male,log_ntimes,7.154497052542865,1.831450101453811,0.0008
smokes cigarettes,male,log_ntimes,7.154497052542865,2.53521726699546,0.003799999999999998
smokes cigarettes,male,log_ntimes,7.650872152298689,2.53521726699546,0.004000000000000003
smokes cigarettes,male,log_ntimes,7.650872152298689,2.306689526885748,0.008599999999999997
smokes cigarettes,male,log_ntimes,7.783597642555833,2.306689526885748,0.0009999999999999996
smokes cigarettes,male,log_ntimes,7.783597642555833,1.7899953084997833,0.0032
smokes cigarettes,male,log_ntimes,7.436875870916992,1.7899953084997833,0.0056000000000000025
smokes cigarettes,male,log_ntimes,7.511991185601801,1.7899953084997833,0.003799999999999998
smokes cigarettes,male,log_ntimes,7.136941864155233,1.7899953084997833,0.005799999999999999
smokes cigarettes,male,log_ntimes,7.74805371882394,1.7899953084997833,0.0033999999999999994
smokes cigarettes,male,log_ntimes,7.6154341688379645,1.7899953084997833,0.0009999999999999996
smokes cigarettes,male,log_ntimes,6.8587897275574505,1.7899953084997833,0.004600000000000001
