Item,Gender,Measure,Mu,Sigma,Probability
steals chewing gum,male,log_ntimes,1.6061858693137765,1.2444564560428262,0.0035999999999999986
steals chewing gum,male,log_ntimes,0.9736759308725595,1.2444564560428262,0.0025999999999999986
steals chewing gum,male,log_ntimes,1.2239705817773938,1.2444564560428262,0.0033999999999999994
steals chewing gum,male,log_ntimes,1.2239705817773938,1.3444033125415444,0.0020000000000000013
steals chewing gum,male,log_ntimes,1.4193838089704514,1.3444033125415444,0.0008
steals chewing gum,male,log_ntimes,1.5125542972236872,1.3444033125415444,0.0004
steals chewing gum,male,log_ntimes,1.3189372490160167,1.3444033125415444,0.0048
steals chewing gum,male,log_ntimes,1.3189372490160167,1.3196056638844311,0.0025999999999999986
steals chewing gum,male,log_ntimes,1.3189372490160167,1.2292052363045514,0.004000000000000003
steals chewing gum,male,log_ntimes,1.3189372490160167,1.2570108170621097,0.0096
steals chewing gum,male,log_ntimes,1.66621234966442,1.2570108170621097,0.004399999999999999
steals chewing gum,male,log_ntimes,1.66621234966442,1.3550320686772466,0.00019999999999999985
steals chewing gum,male,log_ntimes,1.040797729510814,1.3550320686772466,0.0032
steals chewing gum,male,log_ntimes,0.8742634486407042,1.3550320686772466,0.0014000000000000006
steals chewing gum,male,log_ntimes,1.2249803147278726,1.3550320686772466,0.004199999999999997
steals chewing gum,male,log_ntimes,1.1067241244018078,1.3550320686772466,0.0056000000000000025
steals chewing gum,male,log_ntimes,1.0838351072743535,1.3550320686772466,0.0005999999999999994
steals chewing gum,male,log_ntimes,1.0838351072743535,1.3420285331085324,0.0005999999999999994
steals chewing gum,male,log_ntimes,1.0838351072743535,1.390397644136101,0.0016
steals chewing gum,male,log_ntimes,1.345522371120751,1.390397644136101,0.004000000000000003
steals chewing gum,male,log_ntimes,1.345522371120751,1.18327944772318,0.0032
steals chewing gum,male,log_ntimes,1.345522371120751,1.3480263599194586,0.003799999999999998
steals chewing gum,male,log_ntimes,1.345522371120751,1.5187581279315054,0.0024
steals chewing gum,male,log_ntimes,1.345522371120751,1.6239947942085564,0.004399999999999999
steals chewing gum,male,log_ntimes,1.345522371120751,1.4644512091763318,0.0024
steals chewing gum,male,log_ntimes,1.345522371120751,1.344815983902663,0.0020000000000000013
steals chewing gum,male,log_ntimes,1.4927890710532665,1.344815983902663,0.00019999999999999985
steals chewing gum,male,log_ntimes,1.4927890710532665,1.5081386920064688,0.002999999999999998
steals chewing gum,male,log_ntimes,1.4927890710532665,1.1232160148210824,0.0004
steals chewing gum,male,log_ntimes,1.0547236329875886,1.1232160148210824,0.00019999999999999985
steals chewing gum,male,log_ntimes,0.9706224245019257,1.1232160148210824,0.004600000000000001
steals chewing gum,male,log_ntimes,1.673362182918936,1.1232160148210824,0.0014000000000000006
steals chewing gum,male,log_ntimes,1.673362182918936,1.4015783136710525,0.0048
steals chewing gum,male,log_ntimes,1.673362182918936,1.6906300513073802,0.0004
