Item,Gender,Measure,Mu,Sigma,Probability
volunteers for political campaigns,male,log_ntimes,1.5054695261642337,0.993484070058912,0.004399999999999999
volunteers for political campaigns,male,log_ntimes,1.5054695261642337,1.220901645720005,0.010399999999999994
volunteers for political campaigns,male,log_ntimes,1.5054695261642337,1.20510031003505,0.00019999999999999985
volunteers for political campaigns,male,log_ntimes,1.248689612839371,1.20510031003505,0.004600000000000001
volunteers for political campaigns,male,log_ntimes,1.343698613345623,1.20510031003505,0.00019999999999999985
volunteers for political campaigns,male,log_ntimes,1.156587318982929,1.20510031003505,0.0021999999999999997
volunteers for political campaigns,male,log_ntimes,1.2402401212602854,1.20510031003505,0.006599999999999997
volunteers for political campaigns,male,log_ntimes,1.7107944749295712,1.20510031003505,0.0004
volunteers for political campaigns,male,log_ntimes,1.7107944749295712,1.0460748220793903,0.004600000000000001
volunteers for political campaigns,male,log_ntimes,1.7107944749295712,1.0764544643461704,0.0011999999999999988
volunteers for political campaigns,male,log_ntimes,1.7107944749295712,1.336589155253023,0.0005999999999999994
volunteers for political campaigns,male,log_ntimes,1.970099345780909,1.336589155253023,0.0021999999999999997
volunteers for political campaigns,male,log_ntimes,1.970099345780909,1.0732533549889922,0.0056000000000000025
volunteers for political campaigns,male,log_ntimes,1.970099345780909,1.3909304537810385,0.0004
volunteers for political campaigns,male,log_ntimes,1.1321882251650095,1.3909304537810385,0.0004
volunteers for political campaigns,male,log_ntimes,1.7412591842003167,1.3909304537810385,0.0011999999999999988
volunteers for political campaigns,male,log_ntimes,1.7412591842003167,1.3909621769562364,0.0008
volunteers for political campaigns,male,log_ntimes,1.7412591842003167,1.0881646606139839,0.0005999999999999994
volunteers for political campaigns,male,log_ntimes,1.7412591842003167,1.3905850076116621,0.0033999999999999994
volunteers for political campaigns,male,log_ntimes,1.7832477600313723,1.3905850076116621,0.002999999999999998
volunteers for political campaigns,male,log_ntimes,1.7507556383498013,1.3905850076116621,0.0008
volunteers for political campaigns,male,log_ntimes,1.7027673893608153,1.3905850076116621,0.004399999999999999
volunteers for political campaigns,male,log_ntimes,1.4321834314614534,1.3905850076116621,0.0025999999999999986
volunteers for political campaigns,male,log_ntimes,1.4321834314614534,1.3172970549203455,0.0004
volunteers for political campaigns,male,log_ntimes,1.4321834314614534,1.2450062576681376,0.0021999999999999997
volunteers for political campaigns,male,log_ntimes,1.2570374994538724,1.2450062576681376,0.0025999999999999986
volunteers for political campaigns,male,log_ntimes,1.2570374994538724,1.3727843621745706,0.005199999999999997
volunteers for political campaigns,male,log_ntimes,1.3942906190641224,1.3727843621745706,0.005000000000000001
volunteers for political campaigns,male,log_ntimes,1.3942906190641224,1.4410279993899167,0.0014000000000000006
volunteers for political campaigns,male,log_ntimes,1.3942906190641224,0.9988988190889359,0.008799999999999999
volunteers for political campaigns,male,log_ntimes,1.3942906190641224,1.1815639841370285,0.0033999999999999994
volunteers for political campaigns,male,log_ntimes,1.3942906190641224,1.1798487859778106,0.0017999999999999993
volunteers for political campaigns,male,log_ntimes,1.3942906190641224,1.0984333092346787,0.0021999999999999997
volunteers for political campaigns,male,log_ntimes,1.6524352878332138,1.0984333092346787,0.004000000000000003
volunteers for political campaigns,male,log_ntimes,1.3861106452532113,1.0984333092346787,0.0017999999999999993
volunteers for political campaigns,male,log_ntimes,1.3861106452532113,0.9840249363332987,0.0008
volunteers for political campaigns,male,log_ntimes,1.3861106452532113,1.2701896764338017,0.009399999999999999
volunteers for political campaigns,male,log_ntimes,1.3601027941331267,1.2701896764338017,0.0178
volunteers for political campaigns,male,log_ntimes,1.881261714734137,1.2701896764338017,0.015999999999999993
volunteers for political campaigns,male,log_ntimes,1.881261714734137,1.4954899461008608,0.0004
volunteers for political campaigns,male,log_ntimes,2.04058522824198,1.4954899461008608,0.0035999999999999986
volunteers for political campaigns,male,log_ntimes,1.8549691000953317,1.4954899461008608,0.00019999999999999985
volunteers for political campaigns,male,log_ntimes,1.2981606321409345,1.4954899461008608,0.005999999999999996
volunteers for political campaigns,male,log_ntimes,1.2981606321409345,1.0087906080298126,0.003799999999999998
volunteers for political campaigns,male,log_ntimes,1.356823171954602,1.0087906080298126,0.0017999999999999993
volunteers for political campaigns,male,log_ntimes,1.356823171954602,1.3938266364857554,0.005000000000000001
volunteers for political campaigns,male,log_ntimes,1.356823171954602,1.0655673407018185,0.004000000000000003
volunteers for political campaigns,male,log_ntimes,1.356823171954602,1.5320584457367659,0.009800000000000005
volunteers for political campaigns,male,log_ntimes,1.1488248640671372,1.5320584457367659,0.008599999999999997
volunteers for political campaigns,male,log_ntimes,1.1488248640671372,1.1118343798443675,0.0017999999999999993
volunteers for political campaigns,male,log_ntimes,1.1488248640671372,1.4526475267484784,0.0122
volunteers for political campaigns,male,log_ntimes,1.2074447236955166,1.4526475267484784,0.0016
volunteers for political campaigns,male,log_ntimes,1.4920262759551406,1.4526475267484784,0.003799999999999998
volunteers for political campaigns,male,log_ntimes,1.4920262759551406,1.192239315714687,0.0008
volunteers for political campaigns,male,log_ntimes,1.6275513591244817,1.192239315714687,0.011199999999999995
volunteers for political campaigns,male,log_ntimes,1.6275513591244817,1.4071125909686089,0.004000000000000003
volunteers for political campaigns,male,log_ntimes,1.5447919443249702,1.4071125909686089,0.0008
volunteers for political campaigns,male,log_ntimes,1.4684835239313543,1.4071125909686089,0.0032
volunteers for political campaigns,male,log_ntimes,1.4684835239313543,1.0774827911518514,0.0008
volunteers for political campaigns,male,log_ntimes,1.4556269883178174,1.0774827911518514,0.004600000000000001
volunteers for political campaigns,male,log_ntimes,1.4556269883178174,1.1307671526446939,0.0021999999999999997
volunteers for political campaigns,male,log_ntimes,1.4556269883178174,0.9779349411837757,0.00019999999999999985
volunteers for political campaigns,male,log_ntimes,1.4556269883178174,1.1975396028719842,0.0025999999999999986
volunteers for political campaigns,male,log_ntimes,1.4556269883178174,1.3882654742337763,0.0096
volunteers for political campaigns,male,log_ntimes,1.4142513228580356,1.3882654742337763,0.009800000000000005
volunteers for political campaigns,male,log_ntimes,1.4142513228580356,1.469402362126857,0.0014000000000000006
volunteers for political campaigns,male,log_ntimes,1.5768629941157997,1.469402362126857,0.005000000000000001
volunteers for political campaigns,male,log_ntimes,1.4193387585692108,1.469402362126857,0.008399999999999994
volunteers for political campaigns,male,log_ntimes,1.4193387585692108,1.5819087019190192,0.006999999999999998
volunteers for political campaigns,male,log_ntimes,1.5783348050899804,1.5819087019190192,0.0032
volunteers for political campaigns,male,log_ntimes,1.2488231365568936,1.5819087019190192,0.010800000000000002
volunteers for political campaigns,male,log_ntimes,1.2488231365568936,1.532220751978457,0.0020000000000000013
volunteers for political campaigns,male,log_ntimes,1.2488231365568936,1.2829678365960717,0.0020000000000000013
volunteers for political campaigns,male,log_ntimes,1.2488231365568936,1.1026751482859254,0.003799999999999998
volunteers for political campaigns,male,log_ntimes,1.5676706889644265,1.1026751482859254,0.0017999999999999993
volunteers for political campaigns,male,log_ntimes,1.5676706889644265,1.0579673293977976,0.0014000000000000006
volunteers for political campaigns,male,log_ntimes,1.5676706889644265,1.075115711428225,0.0005999999999999994
volunteers for political campaigns,male,log_ntimes,1.2485749600455165,1.075115711428225,0.005000000000000001
volunteers for political campaigns,male,log_ntimes,1.2485749600455165,1.4118553418666124,0.0009999999999999996
volunteers for political campaigns,male,log_ntimes,1.7279188754037023,1.4118553418666124,0.0016
volunteers for political campaigns,male,log_ntimes,1.7279188754037023,1.2251649494282901,0.0032
volunteers for political campaigns,male,log_ntimes,1.7279188754037023,1.3208103412762284,0.0016
