"workerid","category","trial_type","evidenceStatement","characterGender","freqLevel","characterName","habitual","n_instances","time_period","rt","response","frequency","logFreq"
0,"clothing","truthJudge","wore a bra","male",NA,"Jacob","wears a bra",3,"6 months",4782,"agree-key",60,4.0943445622221
0,"entertainment","truthJudge","watched space launches","male",NA,"Lewis","watches space launches",3,"month",2034,"agree-key",10,2.30258509299405
0,"food","truthJudge","ate caviar","male",NA,"Ben","eats caviar",3,"year",4103,"agree-key",121.666666666667,4.80128506491438
0,"clothing","truthJudge","wore a suit","female",NA,"Ashley","wears a suit",3,"week",2541,"agree-key",2.33333333333333,0.847297860387204
0,"entertainment","truthJudge","went to the ballet","female",NA,"Theresa","goes to the ballet",3,"year",2348,"agree-key",121.666666666667,4.80128506491438
0,"food","truthJudge","smoked cigarettes","female",NA,"Claire","smokes cigarettes",3,"year",1732,"agree-key",121.666666666667,4.80128506491438
0,"employment","truthJudge","sold something on eBay","male",NA,"Martin","sells things on eBay",3,"year",2373,"agree-key",121.666666666667,4.80128506491438
0,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Brooke","volunteers for soup kitchens",3,"year",2350,"agree-key",121.666666666667,4.80128506491438
0,"clothing","truthJudge","wore socks","female",NA,"Shannon","wears socks",3,"week",1916,"agree-key",2.33333333333333,0.847297860387204
0,"hobby","truthJudge","played the banjo","female",NA,"Melinda","plays the banjo",3,"2 years",1717,"agree-key",243.333333333333,5.49443224547433
0,"hobby","truthJudge","played tennis","female",NA,"Janet","plays tennis",3,"5 years",2950,"disagree-key",608.333333333333,6.41072297734848
0,"clothing","truthJudge","wore slacks","male",NA,"Stephen","wears slacks",3,"month",1571,"agree-key",10,2.30258509299405
0,"food","truthJudge","drank coffee","female",NA,"Natalie","drinks coffee",3,"2 weeks",1444,"agree-key",4.66666666666667,1.54044504094715
0,"employment","truthJudge","stole a car","female",NA,"Elizabeth","steals cars",3,"5 years",1062,"disagree-key",608.333333333333,6.41072297734848
0,"food","truthJudge","did cocaine","female",NA,"Nicole","does cocaine",3,"week",1413,"agree-key",2.33333333333333,0.847297860387204
0,"food","truthJudge","drank beer","male",NA,"Ronald","drinks beer",3,"week",1979,"agree-key",2.33333333333333,0.847297860387204
0,"clothing","truthJudge","wore socks","male",NA,"Gabriel","wears socks",3,"month",1681,"agree-key",10,2.30258509299405
0,"entertainment","truthJudge","listened to Pandora","female",NA,"Julia","listens to Pandora",3,"year",3791,"agree-key",121.666666666667,4.80128506491438
0,"clothing","truthJudge","wore a bra","female",NA,"Amber","wears a bra",3,"6 months",1057,"agree-key",60,4.0943445622221
